id,split,valence,arousal,dominance,text,clean_text,sentiment_score,sentiment_label,EMI,Manipulation_Level
110CYL069_1858_1935,dev,3.0,2.86,3.29,"""You can earn the money to support yourself and your family,"" she says.",earn money support family says,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL069_18_35,train,3.1,3.1,3.1,15-Nov-96,,0.0,Neutral,0.2,Non-Manipulative
110CYL069_1936_1967,train,3.0,3.1,3.2,"""You can get off welfare.",get welfare,0.0,Neutral,0.2,Non-Manipulative
110CYL069_1968_1985,train,3.12,3.0,3.37,I know you can...,know,0.0,Neutral,0.2,Non-Manipulative
110CYL069_1986_1993,train,3.1,3.1,3.2,"I did.""",,0.0,Neutral,0.2,Non-Manipulative
110CYL069_2000_2165,train,3.0,2.86,3.14,A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,participant goodwill program rushes back job interview share results classmates desktop publishing training program,0.296,Positive,0.37760000000000005,Moderately Manipulative
110CYL069_207_260,train,2.82,2.73,3.27,His job objectives call for him to do it in 30.,job objectives call,0.0,Neutral,0.2,Non-Manipulative
110CYL069_2166_2322,train,3.46,3.55,3.18,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",tears subsided confirms classmates already figured received job offer first five years,-0.2263,Negative,0.33578,Moderately Manipulative
110CYL069_2329_2471,train,3.27,3.09,3.18,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",addressing meeting neighborhood center goodwill staff member tells audience goodwill help find keep jobs,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL069_2552_2596,train,3.09,2.91,3.0,At the next corner he tells five more.,next corner tells five,0.0,Neutral,0.2,Non-Manipulative
110CYL069_2603_2727,train,3.11,2.89,3.0,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",order develop job skills man serious disabilities begins working goodwill industrial division,-0.0772,Negative,0.24632,Non-Manipulative
110CYL069_267_291,test,2.86,3.29,3.29,He has no time to waste.,time waste,-0.4215,Negative,0.4529,Moderately Manipulative
110CYL069_2728_2826,train,2.62,2.88,2.88,It takes a long time for him to gain the self-confidence to work elsewhere in the community.,takes long time gain work elsewhere community,0.5267,Positive,0.5160199999999999,Moderately Manipulative
110CYL069_2833_2895,train,3.11,3.0,3.22,"Eventually, he turns your support into a payoff for all of us.",eventually turns support payoff us,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL069_2896_2948,dev,3.5,3.17,3.33,He proudly leaves Goodwill to support himself.,proudly leaves goodwill support,0.743,Positive,0.6458,Highly Manipulative
110CYL069_2955_2997,train,3.25,3.12,3.5,These people and their successes are real.,people successes real,0.5574,Positive,0.53444,Moderately Manipulative
110CYL069_298_312,train,3.0,3.0,3.2,Neither do we.,neither,0.0,Neutral,0.2,Non-Manipulative
110CYL069_2998_3069,train,3.0,2.8,3.1,Just like the respect we've earned from U.S. News & World Report.,like respect earned news world report,0.6808,Positive,0.60848,Highly Manipulative
110CYL069_313_453,test,3.4,3.1,3.4,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",help friends like goodwill continued adapt services meet human needs changing society,0.8074,Positive,0.68444,Highly Manipulative
110CYL069_3141_3151,train,3.0,3.1,3.2,Real work.,real work,0.0,Neutral,0.2,Non-Manipulative
110CYL069_3152_3165,test,3.0,2.6,3.1,Real results.,real results,0.0,Neutral,0.2,Non-Manipulative
110CYL069_3166_3231,train,3.1,3.2,3.1,A real difference in people's lives -- in all of our lives.,real difference people lives lives,0.0,Neutral,0.2,Non-Manipulative
110CYL069_3238_3328,train,3.12,3.25,3.38,The people who can benefit most directly from your generosity have no time to waste.,people benefit directly generosity time waste,0.5423,Positive,0.52538,Moderately Manipulative
110CYL069_3329_3408,train,3.56,3.11,3.11,Neither do the rest of us who feel the positive results of their success.,neither rest us feel positive results success,0.8074,Positive,0.68444,Highly Manipulative
110CYL069_3409_3451,test,3.4,2.9,3.0,Your support helps provide real solutions.,support helps provide real solutions,0.7184,Positive,0.63104,Highly Manipulative
110CYL069_3458_3552,dev,3.0,3.0,3.0,Please use the enclosed response card and envelope to give generously to Goodwill today.,please use enclosed response card envelope give generously goodwill today,0.6249,Positive,0.57494,Moderately Manipulative
110CYL069_3559_3569,dev,3.1,2.9,3.0,"Sincerely,",sincerely,0.4767,Positive,0.48602,Moderately Manipulative
110CYL069_3590_3635,train,3.0,2.75,3.0,Jack Dustman Board Member and Former Chairman,jack dustman board member former chairman,0.0,Neutral,0.2,Non-Manipulative
110CYL069_460_512,train,3.29,3.29,3.57,We don't waste time as we are helping the community.,waste time helping community,-0.1531,Negative,0.29186,Non-Manipulative
110CYL069_513_544,train,3.1,3.0,3.5,And we don't waste money.,waste money,-0.4215,Negative,0.4529,Moderately Manipulative
110CYL069_545_682,test,3.2,3.0,2.9,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",gift asking make used continue mission helping people prepare find keep jobs,0.6249,Positive,0.57494,Moderately Manipulative
110CYL069_689_842,train,3.57,3.43,3.29,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",december review nation best charities news world report called goodwill one five standout good guys,0.8834,Positive,0.73004,Highly Manipulative
110CYL069_69_206,train,3.4,3.1,3.4,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",short since goodwill helped find job robert learned thoroughly clean motel room minutes,0.4576,Positive,0.47456000000000004,Moderately Manipulative
110CYL069_843_964,train,3.4,3.1,3.3,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",magazine stated goodwill well standouts uniquely effective innovative valuable,0.8807,Positive,0.7284200000000001,Highly Manipulative
110CYL069_971_1145,train,2.9,3.3,3.1,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",appreciate news world report endorsement true value support measured way goodwill takes problems affect us,0.8481,Positive,0.7088599999999999,Highly Manipulative
110CYL070_1013_1100,train,2.9,3.1,3.1,And there are a lot of people who face these challenges every day of their lives.,lot people face challenges every day lives,0.0772,Positive,0.24632,Non-Manipulative
110CYL070_1101_1127,train,3.14,3.0,3.29,So our work must continue.,work must continue,0.0,Neutral,0.2,Non-Manipulative
110CYL070_1134_1181,train,3.5,2.9,3.1,Everyone benefits from the work we do together.,everyone benefits work together,0.3818,Positive,0.42908,Moderately Manipulative
110CYL070_1182_1214,train,2.9,3.1,3.1,Many people need our help.,many people need help,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL070_1221_1263,train,3.0,3.0,3.0,Please continue our important partnership.,please continue important partnership,0.4767,Positive,0.48602,Moderately Manipulative
110CYL070_1264_1318,train,3.14,3.0,3.29,Support Goodwill with a generous donation today.,support goodwill generous donation today,0.7184,Positive,0.63104,Highly Manipulative
110CYL070_1325_1335,dev,3.0,2.3,2.8,"Sincerely,",sincerely,0.4767,Positive,0.48602,Moderately Manipulative
110CYL070_1342_1371,test,3.0,2.75,3.12,James M. McClelland President,james mcclelland president,0.0,Neutral,0.2,Non-Manipulative
110CYL070_135_187,train,3.7,3.1,3.4,We've helped people break free of the welfare cycle.,helped people break free welfare cycle,0.5106,Positive,0.50636,Moderately Manipulative
110CYL070_188_263,train,3.38,3.25,3.38,We've found ways for people with disabilities to enter the workforce.,found ways people disabilities enter workforce,0.0,Neutral,0.2,Non-Manipulative
110CYL070_18_35,train,3.0,2.7,2.9,10-Dec-96,,0.0,Neutral,0.2,Non-Manipulative
110CYL070_264_371,train,3.4,3.1,3.1,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,expanded goodwill proven methods towns neighborhoods needed,0.0,Neutral,0.2,Non-Manipulative
110CYL070_378_418,train,3.1,3.1,3.1,"Of course, we've played different roles.",course played different roles,0.34,Positive,0.404,Moderately Manipulative
110CYL070_419_498,train,3.6,2.9,3.1,You have helped make Goodwill's work possible with your previous support.,helped make goodwill work possible previous support,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL070_42_72,dev,3.0,3.0,3.0,Dear Mailhouse donor reminder:,dear mailhouse donor reminder,0.3818,Positive,0.42908,Moderately Manipulative
110CYL070_499_580,train,3.2,2.8,3.0,Goodwill has devised the programs that turned your investment into results.,goodwill devised programs turned investment results,0.0,Neutral,0.2,Non-Manipulative
110CYL070_587_626,dev,3.0,3.4,3.1,Who has benefited from our partnership?,benefited partnership,0.0,Neutral,0.2,Non-Manipulative
110CYL070_627_640,train,2.9,3.1,3.1,Everyone has.,everyone,0.0,Neutral,0.2,Non-Manipulative
110CYL070_641_833,train,3.6,3.0,3.5,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.",help somebody find job one person joins ranks tax payers fewer tax dollars spent public assistance businesses gain another consumer,0.7269,Positive,0.63614,Highly Manipulative
110CYL070_79_128,train,3.6,3.1,3.1,You and I have done some important work together.,done important work together,0.2023,Positive,0.32138,Moderately Manipulative
110CYL070_840_1012,train,2.67,2.89,3.11,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",lot barriers keep people working physical mental disabilities history welfare dependency lack education,-0.3182,Negative,0.39092000000000005,Moderately Manipulative
110CYL071_1114_1167,test,3.78,3.33,3.33,"At last, he has found success in a job that he loves.",last found success job loves,0.8126,Positive,0.68756,Highly Manipulative
110CYL071_1168_1224,train,3.1,3.1,3.1,Now his goals are set on moving up in the company.,goals set moving company,0.0,Neutral,0.2,Non-Manipulative
110CYL071_1231_1280,train,3.12,3.25,3.12,"Every year, thousands of people come to Goodwill.",every year thousands people come goodwill,0.0,Neutral,0.2,Non-Manipulative
110CYL071_1281_1339,train,2.86,3.29,3.14,"Like Michael, they share two common characteristics.",like michael share two common characteristics,0.5719,Positive,0.54314,Moderately Manipulative
110CYL071_1340_1405,train,3.0,2.7,3.0,They face some barrier to employment and they want to work.,face barrier employment want work,-0.0516,Negative,0.23096000000000003,Non-Manipulative
110CYL071_1412_1547,train,3.38,3.5,3.63,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.",support people like overcome barriers earn success comes,0.836,Positive,0.7016000000000001,Highly Manipulative
110CYL071_1548_1607,train,3.38,3.0,3.12,And then the pay-off begins for the entire community.,begins entire community,0.0,Neutral,0.2,Non-Manipulative
110CYL071_1720_1830,train,3.4,3.1,3.0,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.",last year participants goodwill programs earned paid taxes wages nearly million,0.0,Neutral,0.2,Non-Manipulative
110CYL071_175_239,train,3.3,3.3,3.1,Michael Sims felt that way at age 39 -- the day he earned a job.,michael sims felt way age day earned job,0.0,Neutral,0.2,Non-Manipulative
110CYL071_1837_1955,test,3.7,2.9,3.3,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,successes work also saved taxpayers million dollars public assistance,0.7506,Positive,0.6503600000000002,Highly Manipulative
110CYL071_18_35,train,3.0,2.2,2.8,15-Nov-94,,0.0,Neutral,0.2,Non-Manipulative
110CYL071_1962_2031,test,3.0,2.38,3.38,"The savings are counted in more ways than dollars and cents, however.",savings counted ways dollars cents however,0.0,Neutral,0.2,Non-Manipulative
110CYL071_2038_2263,train,3.2,2.9,3.0,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.",families new wage earners may feel accomplishment terms house live money purchase food without food stamps beginning family focused success hopelessness,0.296,Positive,0.37760000000000005,Moderately Manipulative
110CYL071_2270_2322,train,3.0,3.3,3.1,Won't you help make all of these successes possible?,wo help make successes possible,0.743,Positive,0.6458,Highly Manipulative
110CYL071_2323_2391,dev,2.8,2.8,3.3,Please send the largest contribution you can comfortably make.,please send largest contribution comfortably make,0.6249,Positive,0.57494,Moderately Manipulative
110CYL071_2392_2518,test,3.6,3.2,3.1,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,gift help give new meaning word success people seldom reason use word,0.8519,Positive,0.71114,Highly Manipulative
110CYL071_246_283,test,2.14,3.14,2.86,Michael was born with cerebral palsy.,michael born cerebral palsy,0.0,Neutral,0.2,Non-Manipulative
110CYL071_2525_2535,train,3.25,3.0,3.0,"Sincerely,",sincerely,0.4767,Positive,0.48602,Moderately Manipulative
110CYL071_2542_2571,train,3.0,3.0,3.0,James M. McClelland President,james mcclelland president,0.0,Neutral,0.2,Non-Manipulative
110CYL071_2578_2582,train,3.0,2.9,3.0,P.S.,,0.0,Neutral,0.2,Non-Manipulative
110CYL071_2583_2616,train,3.64,3.37,3.45,Your gift will make a difference.,gift make difference,0.4404,Positive,0.46424000000000004,Moderately Manipulative
110CYL071_2617_2795,train,3.6,3.2,3.2,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.",every dollar public support goodwill received last year returned community form earned wages reduced public assistance payments,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL071_284_391,dev,3.3,3.2,3.0,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.",upon entering work force discovered job opportunities seemed match abilities,0.5574,Positive,0.53444,Moderately Manipulative
110CYL071_398_457,train,3.0,2.8,3.1,For several years he performed packaging and clerical work.,several years performed packaging clerical work,0.0,Neutral,0.2,Non-Manipulative
110CYL071_42_48,train,3.0,3.0,3.0,"Dear ,",dear,0.3818,Positive,0.42908,Moderately Manipulative
110CYL071_458_550,test,2.38,3.0,2.88,His most recent job lasted only a year before cut-backs eliminated his position.,recent job lasted year eliminated position,0.0,Neutral,0.2,Non-Manipulative
110CYL071_557_605,train,2.22,3.11,2.89,For 18 long months Michael could not find a job.,long months michael could find job,0.0,Neutral,0.2,Non-Manipulative
110CYL071_55_94,train,3.44,3.0,3.33,Think of your greatest accomplishments.,think greatest accomplishments,0.6369,Positive,0.5821400000000001,Moderately Manipulative
110CYL071_606_664,test,2.7,3.1,3.1,He resorted to public assistance dollars to survive.,resorted public assistance dollars survive,0.0,Neutral,0.2,Non-Manipulative
110CYL071_665_698,test,3.1,3.1,3.0,"Finally, Michael called Goodwill.",finally michael called goodwill,0.0,Neutral,0.2,Non-Manipulative
110CYL071_705_892,train,3.6,3.1,3.1,"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine.",goodwill michael counselors felt personable demeanor could major attribute identified possible people skills could shine,0.0,Neutral,0.2,Non-Manipulative
110CYL071_899_985,train,3.6,3.0,3.2,"After three interviews, Michael proved that he was the right person for the job.",three interviews michael proved right person job,0.0,Neutral,0.2,Non-Manipulative
110CYL071_95_168,train,4.0,3.6,3.2,Think of the joy and success they bring to you and your loved ones.,think joy success bring loved ones,0.9081,Positive,0.74486,Highly Manipulative
110CYL071_986_1107,dev,3.1,2.7,3.0,"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night.",clubhouse monitor bent tree apartments provides customer service tenants night,0.0,Neutral,0.2,Non-Manipulative
110CYL072_130_264,train,2.6,3.0,2.8,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.,complaint system discourages working unemployment provides benefits many jobs include,-0.6597,Negative,0.59582,Moderately Manipulative
110CYL072_18_123,train,3.0,2.8,2.9,Some of the strongest critics of our welfare system are the people who have become dependent on it.,strongest critics welfare system people become dependent,0.1779,Positive,0.30674,Moderately Manipulative
110CYL072_271_313,train,3.1,3.0,3.3,That's where you --and Goodwill --come in.,goodwill come,0.0,Neutral,0.2,Non-Manipulative
110CYL072_314_412,train,3.25,2.87,2.87,We help people train for and find jobs that make it possible for them to get off of welfare.,help people train find jobs make possible get welfare,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL072_413_518,train,3.8,3.3,3.2,"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993.",last year goodwill placed people jobs double number placed,0.0772,Positive,0.24632,Non-Manipulative
110CYL072_525_641,train,2.7,3.1,2.9,"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering.",debate welfare reform gathering like storm sea people need jobs floundering,0.3612,Positive,0.4167200000000001,Moderately Manipulative
110CYL072_642_721,train,3.1,2.8,3.1,We need your support to continue getting people off of public assistance.,need support continue getting people public assistance,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL072_728_754,train,2.9,3.0,3.0,Welfare is not the answer.,welfare answer,0.0,Neutral,0.2,Non-Manipulative
110CYL072_755_835,train,2.8,3.0,2.8,And welfare reform is an uncertain solution with an unknown starting date.,welfare reform uncertain solution unknown starting date,0.0258,Neutral,0.21548,Non-Manipulative
110CYL072_836_851,train,3.87,3.25,3.5,Goodwill works.,goodwill works,0.0,Neutral,0.2,Non-Manipulative
110CYL072_852_862,train,2.86,3.0,3.43,Right now.,right,0.0,Neutral,0.2,Non-Manipulative
110CYL072_869_924,train,3.2,3.0,3.0,Please give the largest gift you can to Goodwill today.,please give largest gift goodwill today,0.6369,Positive,0.5821400000000001,Moderately Manipulative
110CYL072_931_969,train,3.0,2.8,3.0,"Sincerely, Jack Dustman Chairman",sincerely jack dustman chairman,0.4767,Positive,0.48602,Moderately Manipulative
110CYL200_1290_1428,dev,2.3,3.0,2.8,"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment.",unemployment lowest point years central indiana many people still hard time finding meaningful employment,-0.5574,Negative,0.53444,Moderately Manipulative
110CYL200_1569_1610,train,2.9,2.9,3.0,"Some, like Jerry, are ex-offenders.",like jerry,0.3612,Positive,0.4167200000000001,Moderately Manipulative
110CYL200_1611_1668,test,2.57,3.0,3.0,"Some are blind, deaf or have other physical disabilities.",blind deaf physical disabilities,-0.4019,Negative,0.44114000000000003,Moderately Manipulative
110CYL200_1675_1703,train,2.2,3.0,2.7,More than 100 were homeless.,homeless,0.0,Neutral,0.2,Non-Manipulative
110CYL200_1710_1804,train,3.4,3.3,3.2,"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry.",goodwill offers hope even people numerous obstacles overcome like jerry,0.4215,Positive,0.4529,Moderately Manipulative
110CYL200_1805_2047,train,3.5,3.1,3.4,"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.",promising new job plastic injection molding manufacturer legal troubles check safe place live jerry get business building life contributing community,0.4767,Positive,0.48602,Moderately Manipulative
110CYL200_18_32,train,3.0,2.9,3.1,17-Mar-00,,0.0,Neutral,0.2,Non-Manipulative
110CYL200_2048_2113,dev,3.0,2.8,2.9,"For as long as he needs it, Goodwill will continue to help.",long needs goodwill continue help,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL200_210_382,train,2.7,3.1,2.9,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.",knew made bad mistake despite commitment rebuilding life count obstacles would thrown path,-0.8652,Negative,0.71912,Highly Manipulative
110CYL200_2120_2281,train,3.5,2.8,3.1,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.,support goodwill provide job training placement services help hardest serve central indiana find meaningful employment,0.7717,Positive,0.6630200000000002,Highly Manipulative
110CYL200_2282_2388,train,3.43,2.57,2.86,"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job.",assistance goodwill help employers develop resources keep workers job,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL200_2395_2491,train,3.29,2.86,3.29,Please make an investment in the stability of our community by sending a gift to Goodwill.,please make investment stability community sending gift goodwill,0.6369,Positive,0.5821400000000001,Moderately Manipulative
110CYL200_2492_2541,train,3.56,3.33,3.0,Your generosity will help people help themselves.,generosity help people help,0.8271,Positive,0.6962600000000001,Highly Manipulative
110CYL200_2548_2558,test,3.22,3.11,3.11,"Sincerely,",sincerely,0.4767,Positive,0.48602,Moderately Manipulative
110CYL200_2565_2594,train,3.0,2.7,3.0,James M. McClelland President,james mcclelland president,0.0,Neutral,0.2,Non-Manipulative
110CYL200_389_480,train,2.0,3.5,2.38,Reality hit when he was unable to reconcile with his wife and ended up on the street.,reality hit unable reconcile wife ended street,0.0,Neutral,0.2,Non-Manipulative
110CYL200_39_65,train,3.0,2.5,3.1,"Name Address City, ST, Zip",name address city st zip,0.0,Neutral,0.2,Non-Manipulative
110CYL200_481_588,test,3.0,3.0,3.0,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,went center township trustee food stamps could find job place live,0.25,Positive,0.35000000000000003,Moderately Manipulative
